Name,Type,Lucee,BoxLang,RustCFML Impl,RustCFML Test,Example Code,Expected Output
abs,function,Yes,✅,✅,✅,abs(-4.3),4.3
acos,function,Yes,✅,✅,✅,acos(0.3),1.266103672779
addsoaprequestheader,function,Yes,❌,❌,❌,"/ws = createObject(""webservice"", ""http://localhost/soapheaders/headerservice.cfc?WSDL"");
addSOAPRequestHeader(ws, ""http://mynamespace/"", ""username"", """,
addsoapresponseheader,function,Yes,❌,❌,❌,"ws = createObject(""webservice"", ""http://localhost/soapheaders/headerservice.cfc?WSDL"");
addSOAPRequestHeader(ws, ""http://mynamespace/"", ""username"", ""t",
ajaxlink,function,Yes,❌,❌,❌,N/A,N/A
ajaxonload,function,Yes,❌,❌,❌,N/A,N/A
applicationstarttime,function,Yes,✅,❌,❌,N/A,N/A
applicationstop,function,Yes,✅,✅,✅,"var applicationRequiresHalt = true;
if(applicationRequiresHalt) applicationStop();
writeOutput(""Still Running"");",// We don't expect anything to happen after the application has been stopped.
argon2checkhash,function,Yes,❌,❌,❌,"hashedValue = GenerateArgon2Hash(""CFDocs.org"");
dump(hashedValue);
check1 = Argon2CheckHash( ""CFDocs.org"", hashedValue);
dump( check1 );
check2 = Argo",
array,function,Yes,❌,❌,❌,"exampleArray = Array(""example-string"", 1, {structExample = ""value""}, [1,2,3]);
dump(exampleArray);",
arrayappend,function,Yes,✅,✅,✅,"someArray = [1,2,3];
arrayAppend(someArray, 4);
writeOutput(serializeJSON(someArray));","[1,2,3,4]"
arrayavg,function,Yes,✅,✅,✅,"numberArray = [1,2,3];
writeOutput(arrayAvg(numberArray));",2
arrayclear,function,Yes,✅,✅,✅,"someArray = [""Red"", ""White"", ""Green"", ""Blue"", ""Pink""];
writeOutput(arrayClear(someArray));",Yes
arraycontains,function,Yes,❌,✅,✅,"someArray = [1,2,3];
writeDump(arrayContains(someArray,2));",true
arraycontainsnocase,function,Yes,❌,✅,✅,"writeOutput(arrayContainsNoCase([""first"", ""SECOND""], ""First""));",
arraydelete,function,Yes,✅,✅,✅,"arr = ['apple', 'orange', 'pear', 'apple'];
arrayDelete(arr, 'apple');

writeDump(arr);","['orange','pear','apple']"
arraydeleteat,function,Yes,✅,✅,✅,"someArray = [""Red"", ""White"", ""Green"", ""Blue"", ""Pink""];
arrayDeleteAt(someArray, 3);
writeOutput(serializeJSON(someArray));","[""Red"", ""White"", ""Blue"", ""Pink""]"
arraydeletenocase,function,Yes,❌,✅,✅,"arr = ['apple', 'orange', 'pear', 'Apple'];
arrayDeleteNoCase(arr, 'Apple');

writeDump(arr);","['orange','pear','Apple']"
arrayeach,function,Yes,✅,✅,✅,"letters = [""a"",""b"",""c"",""d""]; 
arrayEach(letters, function(element,index) {
    writeOutput(""#index#:#element#;"");
});",1:a;2:b;3:c;4:d;
arrayevery,function,Yes,✅,✅,✅,N/A,N/A
arrayfilter,function,Yes,✅,✅,✅,"fruitArray = [{'fruit'='apple', 'rating'=4}, {'fruit'='banana', 'rating'=1}, {'fruit'='orange', 'rating'=5}, {'fruit'='mango', 'rating'=2}, {'fruit'='","[{""fruit"":""apple"",""rating"":4},{""fruit"":""orange"",""rating"":5},{""fruit"":""kiwi"",""rating"":3}]"
arrayfind,function,Yes,✅,✅,✅,"writeOutput( arrayFind( [""orange"",""pineapple"",""apple""], ""apple"" ));",3
arrayfindall,function,Yes,✅,✅,✅,"courses = [{
    name: ""Getting started with ColdFusion"",
    participants: []
},{
    name: ""Caching in ColdFusion"",
    participants: [{
        nam","2,4"
arrayfindallnocase,function,Yes,❌,❌,❌,"var fruitArray = ['apple','banana','apple','orange','kiwi'];
var applePositions = arrayFindAllNoCase(fruitArray, 'APPLE');
writeDump(applePositions);","[1,3]."
arrayfindnocase,function,Yes,❌,✅,✅,"writeOutput( arrayFindNoCase([""orange"",""pineapple"",""apple""], ""Apple"" ) );",3
arrayfirst,function,Yes,✅,✅,✅,"someArray = [1,2,3,4];
WriteOutput(someArray.first());",1
arrayindexexists,function,Yes,✅,✅,✅,"myArray=[];
myArray[1]='one';
myArray[2]='two';
myArray[3]='three';
myArray[4]='four';
myArray[5]='five';
result = arrayIndexExists(myArray, 3);
write",true
arrayinsertat,function,Yes,✅,✅,✅,"someArray = [1,2,3];
arrayInsertAt(someArray, 2, 4);
writeOutput(serializeJSON(someArray));","[1,4,2,3]"
arrayisdefined,function,Yes,❌,✅,✅,"someArray = [1,2,3,4,5];
writeOutput(arrayIsDefined(someArray, 3));",Yes
arrayisempty,function,Yes,✅,✅,✅,"someArray = [1,2,3,4,5];
writeOutput(arrayIsEmpty(someArray));",No
arraylast,function,Yes,✅,✅,✅,"someArray = [""first"", ""second"", ""third""];
lastOne=arrayLast(someArray);
writeOutput(lastOne);","""third"""
arraylen,function,Yes,❌,✅,✅,"numberArray = [1,2,3,4];
writeOutput(arrayLen(numberArray));",4
arraymap,function,Yes,✅,✅,✅,"complexData = [ {a: 4}, {a: 18}, {a: 51} ];
newArray = arrayMap( complexData, function(item){
   return item.a;
});
writeDump(newArray);","[4, 18, 51]"
arraymax,function,Yes,✅,✅,✅,"someArray = arrayNew(1);
writeOutput(arrayMax(someArray));",0
arraymedian,function,Yes,✅,✅,✅,"someArray = [1,2,2];
m=arrayMedian(someArray);
writeOutput(m);",2
arraymerge,function,Yes,✅,✅,✅,"fruit = ['apple','banana','orange'];
veggies = ['tomato','carrot','corn','peas','peppers'];
healthyFoods = arrayMerge(fruit, veggies);
writeOutput(arr","apple,banana,orange,tomato,carrot,corn,peas,peppers"
arraymid,function,Yes,❌,✅,✅,"vehicles = ['Mustang','Nova','Celica','Camry','Tacoma','Tundra','Ram','F-250'];
trucks = arrayMid(vehicles, 5);
writeOutput(arrayToList(trucks));","Tacoma,Tundra,Ram,F-250"
arraymin,function,Yes,✅,✅,✅,"someArray = arrayNew(1);
writeOutput(arrayMin(someArray));",0
arraynew,function,Yes,✅,✅,✅,"newArray = arrayNew(1);
someArray = arraySet(newArray, 1, 4, ""All is well"");
writeOutput( serializeJSON(newArray) );","[""All is well"", ""All is well"", ""All is well"", ""All is well""]"
arraypop,function,Yes,✅,✅,✅,"arr=[1,2,42];
p=arrayPop(array=arr);
writeOutput(p);",42
arrayprepend,function,Yes,✅,✅,✅,"someArray = [3,2,1]; 
arrayPrepend(someArray, 4);
writeDump(someArray);","[4,3,2,1]"
arraypush,function,Yes,✅,❌,❌,"arr=[1,2,3];
arrayPush(array=arr,value=42);
writeOutput('This array has ' & arrayLen(arr) & ' elements.');",This array has 4 elements.
arrayreduce,function,Yes,✅,✅,✅,"complexData = [ {a: 4}, {a: 18}, {a: 51} ];sum = arrayReduce( complexData, function(prev, element){
	return prev + element.a;
}, 0 );
writeOutput(sum)",73
arrayresize,function,Yes,✅,✅,✅,"<cfset MyArray = arrayNew(1)> 
 <!--- Resize that array to the number of records in the query. ---> 
 <cfset temp = arrayResize(MyArray, 8)> 
  <cf",
arrayreverse,function,Yes,✅,✅,✅,"myArray = [1,2,3];
myArrayReversed = arrayReverse(myArray);
writeOutput( serializeJSON( myArrayReversed ) );","[3,2,1]"
arrayset,function,Yes,✅,✅,✅,"<cfset MyNewArray = arrayNew(1)> 
<!--- ArrayToList does not function properly if the Array has not been initialized with arraySet. ---> 
<cfset tem","Initial Value, Initial Value, Initial Value, Initial Value, Initial Value, Initial Value"
arrayshift,function,Yes,✅,✅,✅,"arr = [ 1, 2, 3 ];
el = arrayShift(arr);
writeOutput( el );",1
arrayslice,function,Yes,✅,✅,✅,"
array = [1, 2, 3, 4, 5, 6, 7, 8];
newArray = arraySlice(array, 2, 3);
writedump(newArray)","[2,3,4]"
arraysome,function,Yes,✅,✅,✅,"// Create an array
arrayList = [""apple"", ""pineapple"", ""mango"", ""apricot""];

// Match some
result = arraySome(arrayList, function(fruit) {
    ret",Some matches were found!
arraysort,function,Yes,✅,✅,✅,"someArray = [10,20,-99,46,50];
arraySort(someArray, ""numeric"", ""desc"");
writeOutput( serializeJSON(someArray) );","[50,46,20,10,-99]"
arraysplice,function,Yes,✅,✅,✅,"months = ['Jan', 'March', 'April', 'June'];
item = [""Feb""];
arraySplice( months, 2, 0, item );
writedump(months);","[""Jan"",""Feb"",""March"",""April"",""June""]"
arraysum,function,Yes,✅,✅,✅,"numberArray = [10,99,27,72];
writeOutput( arraySum(numberArray));",208
arrayswap,function,Yes,✅,✅,✅,"superiorArray = ['Spider-Man','Green Goblin','Doctor Octopus','Venom'];
arraySwap(superiorArray,1,3);
writeDump(superiorArray);","['Doctor Octopus', 'Green Goblin', 'Spider-Man', 'Venom']"
arraytolist,function,Yes,✅,✅,✅,"someArray = [1,2,3,4];
someList = arrayToList(someArray,""|"");
writeOutput(someList);","""1|2|3|4"""
arraytostruct,function,Yes,✅,✅,✅,"serializeJSON(arrayToStruct([""a"",""b""]));","{""2"":""b"",""1"":""a""}"
arrayunshift,function,Yes,✅,❌,❌,"arr=[1,2,3];
newArrLen=arrayUnshift(arr,0);
writeOutput(newArrLen);",4
asc,function,Yes,❌,✅,✅,"x = chr( 8361 ); 
 writeoutput( 'character: #x#' ); 
 x = asc( x ); 
 writeoutput( '<br>Unicode value: #x#');",
asin,function,Yes,✅,✅,✅,asin(0.3),0.304692654015
atn,function,Yes,✅,❌,❌,atn(0.3),0.291456794478
beat,function,Yes,❌,❌,❌,beat(),
binarydecode,function,Yes,✅,✅,✅,"binaryDecode('F62B','hex');",[BINARY]
binaryencode,function,Yes,✅,✅,✅,"s = binaryDecode('737472696E67','hex');
 binaryEncode(s,'hex');",737472696E67
bitand,function,Yes,✅,✅,✅,N/A,N/A
bitmaskclear,function,Yes,✅,✅,✅,N/A,N/A
bitmaskread,function,Yes,✅,✅,✅,N/A,N/A
bitmaskset,function,Yes,✅,✅,✅,N/A,N/A
bitnot,function,Yes,✅,✅,✅,N/A,N/A
bitor,function,Yes,✅,✅,✅,N/A,N/A
bitshln,function,Yes,❌,✅,✅,N/A,N/A
bitshrn,function,Yes,❌,✅,✅,N/A,N/A
bitxor,function,Yes,✅,✅,✅,N/A,N/A
booleanformat,function,Yes,✅,✅,✅,booleanFormat(1),true
bundleinfo,function,Yes,❌,❌,❌,dump(bundleInfo(obj));,
cacheclear,function,Yes,❌,✅,✅,N/A,N/A
cachecount,function,Yes,❌,✅,✅,N/A,N/A
cachedelete,function,Yes,❌,✅,✅,N/A,N/A
cacheget,function,Yes,❌,✅,✅,"cowSays = cacheGet( ""cow"" );
if ( isNull( cowSays ) ) {
    cowSays = ""moo"";
    cachePut( ""cow"", cowSays, createTimeSpan( 0, 0, 30, 0 ), createTimeSp",The cow says moo
cachegetall,function,Yes,❌,✅,✅,N/A,N/A
cachegetallids,function,Yes,❌,✅,✅,N/A,N/A
cachegetdefaultcachename,function,Yes,❌,❌,❌,N/A,N/A
cachegetmetadata,function,Yes,❌,❌,❌,N/A,N/A
cachegetproperties,function,Yes,❌,❌,❌,N/A,N/A
cacheidexists,function,Yes,❌,❌,❌,"<!--- Creating a new object ---> 
 <cfset obj1 = structNew()> 
 <cfset obj1.name = 'xyz'> 
 <!--- Defining the time to live and time to Idle parame",
cachekeyexists,function,Yes,❌,✅,✅,N/A,N/A
cacheput,function,Yes,❌,✅,✅,"<cfset cachedData = cacheGet(""wt-6-cache"")>
<!--- If the data is not cached, create it and do a cache put. --->
<cfif isNull(cachedData)>
	Cache doesn",
cacheregionexists,function,Yes,❌,❌,❌,"<cfif NOT cacheRegionExists('testregion')>
    <cfset cacheRegionNew('testregion')>
</cfif>",
cacheregionnew,function,Yes,❌,❌,❌,"<cfset defaultCacheProps = structNew()> 
 <cfset defaultCacheProps.CLEARONFLUSH = 'true'> 
 <cfset defaultCacheProps.DISKEXPIRYTHREADINTERVALSECONDS",
cacheregionremove,function,Yes,❌,❌,❌,<cfset cacheRegionRemove('testregion')>,
cacheremove,function,Yes,❌,❌,❌,cacheRemove( 'myCachedQuery' );,
cacheremoveall,function,Yes,❌,❌,❌,"// generate some data to cache
for ( i = 1; i <= 10; i++ ) {
  cachePut( 'cache_#i#', ""Test data #i#"" );
}

function cacheObjCount() {
    retur",
cachesetproperties,function,Yes,❌,❌,❌,N/A,N/A
callstackdump,function,Yes,❌,❌,❌,"<cftry>
<cfinclude template=""fact.cfm"">
<cfcatch type=""any"">
<cfoutput>
#cfcatch.message#
<br>#cfcatch.detail#
<br>
</cfoutput>
</cfcatch>
</",
callstackget,function,Yes,✅,❌,❌,"<!--- callfact.cfm --->
<cftry>
    <cfinclude template=""fact.cfm"">
<cfcatch type=""any"">
    <cfoutput>
        #cfcatch.message#
        <br>#c",
canonicalize,function,Yes,❌,✅,✅,"<cfoutput>#canonicalize(""&lt;"",false,false)#</cfoutput>",<
ceiling,function,Yes,✅,✅,✅,ceiling(1.1),2
cfabort,tag,Yes,?,✅,✅,"try {
	// make a call to a non-existent function
	firstName = userService.getUserById( 1 ).getFirstName();
// catch any errors    
} catch ( any e",Error page: Variable USERSERVICE is undefined.
